File_name,Time,Max. Battery Voltage (V),Min. Battery Voltage (V),Charge Amp Hours (Ah),Load Amp Hours (A),Max Load Current (A),Max. PV Current (A),Max. PV Voltage (V),Min. PV Voltage (V),Batt State of Charge (SOC%),Max Battery Temp,Min Battery Temp,Length of Night (h),ALC,Flags,Date
15.cisdl,18,28.5,26.2,13.52,10.15,3,12.5,46,0.5,100,14,-6,13.83333333,100,b10,
15.cisdl,19,27.5,26.3,11.38,11.19,3,11.5,43,0.5,100,14,4,14,100,b0,
15.cisdl,20,28.5,26.4,10.04,10.92,3,14,46,0.5,100,14,4,14,100,b10,
15.cisdl,21,28.5,26.3,10.83,9.92,3,11,46,0.5,100,18,-1,13.5,100,b10,
15.cisdl,22,28.5,26.4,8.4,11.6,3,13,45.5,0.5,100,16,4,14,100,b10,
15.cisdl,23,28.5,26.3,8.97,10.37,3,16.5,46.5,0.5,100,12,4,13.83333333,100,b10,
15.cisdl,24,26.8,26.3,3.13,10.92,2.5,1.5,44.5,0.5,100,4,-3,13.83333333,100,b0,
15.cisdl,25,28.5,26.2,18.92,10.56,3,15,45.5,0.5,100,11,-3,13.66666667,100,b10,
15.cisdl,26,28.5,26.3,10.9,10.17,3,10,44,0.5,100,15,0,13.33333333,100,b10,
15.cisdl,27,28.5,26.4,11.78,10.91,3,10.5,43.5,0.5,100,7,-2,13.66666667,100,b10,
15.cisdl,28,28.5,26.3,11.27,10.63,3,11,44,0.5,100,-1,-15,13.5,100,b10,
15.cisdl,29,28.5,26.3,9.76,10.81,2.5,5,47,0.5,100,-9,-15,13.66666667,100,b10,
15.cisdl,30,28.5,26.1,10.77,10.18,2.5,10.5,47.5,0.5,100,-5,-25,13.33333333,100,b10,
17.cisdl,1,28.5,26.7,1.01,0,1.5,0.5,47,0.5,100,12,-5,14,100,b10,
17.cisdl,2,28.5,26.7,1.07,0,1.5,1.5,45,0.5,100,13,5,14.33333333,100,b10,
17.cisdl,3,28.5,26.8,0.89,0,1.5,0.5,47,0.5,100,14,4,14.33333333,100,b10,
17.cisdl,4,28.5,26.7,1.05,0,1.5,0.5,46.5,0.5,100,11,0,13.66666667,100,b10,
17.cisdl,5,28.5,26.9,0.64,0,1.5,0.5,46,0.5,100,16,5,14.33333333,100,b10,
17.cisdl,6,28.5,26.8,0.9,0,1.5,0.5,47.5,0.5,100,9,3,14,100,b10,
17.cisdl,7,28.5,26.7,1.11,0,1.5,1,46.5,0.5,100,4,0,14.16666667,100,b10,
17.cisdl,8,28.5,26.7,1.08,0,1.5,1,47.5,0.5,100,7,0,13.83333333,100,b10,
17.cisdl,9,28.5,26.7,1.06,0,1.5,0.5,44.5,0.5,100,13,1,13.66666667,100,b10,
17.cisdl,10,28.5,26.7,1.07,0,1.5,0.5,44.5,0.5,100,12,6,13.83333333,100,b10,
17.cisdl,11,28.5,26.7,1.11,0,1.5,0.5,46,0.5,100,10,2,13.83333333,100,b10,
17.cisdl,12,28.5,26.7,0.91,0,1.5,0.5,47,0.5,100,2,-3,14,100,b10,
17.cisdl,13,28.5,26.7,1,0,1.5,0.5,48.5,0.5,100,-3,-11,13.5,100,b10,
17.cisdl,14,27.9,26.6,0.21,0,1.5,0,42.5,0.5,100,-2,-9,14,100,b0,
17.cisdl,15,28.5,26.6,1.06,0,1.5,0.5,47,0.5,100,-3,-15,14.5,100,b10,
17.cisdl,16,28.5,26.6,1.13,0,1.5,0.5,46.5,0.5,100,4,-18,13.83333333,100,b10,
17.cisdl,17,28.5,26.6,1.08,0,1.5,0.5,45,0.5,100,-1,-12,13.33333333,100,b10,
17.cisdl,18,27.7,26.6,0,0,1.5,0,41.5,0.5,100,2,-1,15,100,b0,
17.cisdl,19,26.7,26.5,0.12,0,1.5,0,43,0.5,100,2,-1,14.83333333,100,b0,
17.cisdl,20,26.9,26.5,1.7,0,1.5,0,44,0.5,100,2,-7,14,100,b0,
17.cisdl,21,28.5,26.5,2.61,0,1.5,3,46,0.5,100,7,-6,13.5,100,b10,
17.cisdl,22,28.5,27,0.7,0,1.5,0,46.5,0.5,100,15,4,13.33333333,100,b10,
17.cisdl,23,28.5,26.7,1.05,0,1.5,1,46,0.5,100,9,2,13.33333333,100,b10,
17.cisdl,24,28.5,26.7,1.05,0,1.5,0.5,46.5,0.5,100,7,0,13,100,b10,
17.cisdl,25,28.5,26.7,1.04,0,1.5,0.5,46,0.5,100,6,-4,13,100,b10,
17.cisdl,26,28.5,26.7,1.1,0,1.5,0,46,0.5,100,4,1,13.16666667,100,b10,
17.cisdl,27,28.5,26.7,1.08,0,1.5,0.5,44,0.5,100,4,0,13.66666667,100,b10,
17.cisdl,28,28.5,26.7,0.98,0,1.5,1,48,0.5,100,1,-6,13.16666667,100,b10,
17.cisdl,29,28.5,26.7,0.88,0,1.5,0.5,46.5,0.5,100,5,0,14.5,100,b10,
17.cisdl,30,28.5,26.6,1.07,0,1.5,0.5,48,0.5,100,5,-2,14.5,100,b10,
18.cisdl,1,28.5,26.4,4.77,4.76,2,5.5,46.5,0.5,100,6,2,13.5,100,b10,
18.cisdl,2,28.5,26.5,4.49,4.54,2,5,46.5,0.5,100,5,0,13.16666667,100,b10,
18.cisdl,3,28.5,26.4,4.48,4.65,2,1.5,46,0.5,100,3,-3,13.16666667,100,b10,
18.cisdl,4,27.3,26.5,1.9,5.07,1.5,1.5,45.5,0.5,100,3,0,13.33333333,100,b0,
18.cisdl,5,27,26.5,2.59,5.29,1.5,0.5,44,0.5,100,3,0,13.66666667,100,b0,
18.cisdl,6,28.5,26.4,5.34,4.51,2,6,47.5,0.5,100,1,-4,13.16666667,100,b10,
18.cisdl,7,28.5,26.5,4.51,5.1,2,3.5,47,0.5,100,3,-2,14.66666667,100,b10,
18.cisdl,8,28.5,26.4,3.56,4.51,2,5,46,0.5,100,6,-4,14,100,b10011,
18.cisdl,9,28.5,26.5,4.69,5.04,2,6,43.5,0.5,100,9,3,14.33333333,100,b10,
